date,open,high,low,close,volume
27-09-01,6.2635,6.4089,6.0517,6.1265,2433600
28-09-01,6.1867,6.5231,6.1555,6.5231,3924800
01-10-01,6.438,6.5211,6.1555,6.4858,4194000
02-10-01,6.5398,6.5626,6.4006,6.4961,3098800
03-10-01,6.9136,6.9136,6.2095,6.8326,4081200
04-10-01,6.843,6.843,6.7246,6.8139,1355600
05-10-01,6.8326,6.8326,6.6041,6.735,1414400
08-10-01,6.8845,6.8845,6.6477,6.7287,2324800
09-10-01,6.7578,6.9987,6.6685,6.8886,1465200
10-10-01,6.8637,7.061,6.8118,7.0112,1786400
11-10-01,6.9156,7.0589,6.6893,6.8513,1893200
12-10-01,6.791,6.8741,6.7184,6.8222,1576000
15-10-01,6.8305,6.8533,6.708,6.7246,954400
16-10-01,6.7412,6.9987,6.7391,6.9572,2857600
17-10-01,6.9426,7.1815,6.8824,7.0133,2947600
18-10-01,6.9821,7.2396,6.9156,7.2022,3366400
19-10-01,7.2168,7.2168,7.0548,7.1192,1828400
22-10-01,7.2147,7.2625,7.0506,7.2168,1899200
23-10-01,7.2625,7.5283,7.1939,7.3808,3301600
24-10-01,7.3538,7.4764,7.331,7.4016,2165200
25-10-01,7.3642,7.5283,7.3497,7.4743,2969600
26-10-01,7.4016,7.6217,7.3975,7.5408,2208000
29-10-01,7.5387,7.6633,7.4182,7.52,1460400
30-10-01,7.5491,7.5491,7.3663,7.466,1242800
31-10-01,7.3061,7.3061,7.0714,7.2168,3321600
01-11-01,7.3019,7.3518,7.2064,7.2438,1376400
02-11-01,7.2479,7.4764,7.2479,7.4286,1209600
05-11-01,7.3746,7.4764,7.2604,7.3227,989200
06-11-01,7.3372,7.466,7.2832,7.4556,2347600
07-11-01,7.5761,7.5761,7.4224,7.5158,1466800
08-11-01,7.5408,7.9021,7.4764,7.7339,3247200
09-11-01,7.738,7.9956,7.5075,7.8087,3059200
12-11-01,7.8523,7.873,7.4764,7.7609,2082800
13-11-01,7.7484,7.9187,7.6882,7.8668,2770400
14-11-01,7.9021,8.062,7.7796,7.8087,3123200
15-11-01,7.9748,8.5438,7.9229,8.4628,13881200
16-11-01,8.2635,8.4836,8.2053,8.2655,5960400
19-11-01,8.2676,8.4421,8.2676,8.4213,2905200
20-11-01,8.3299,8.9592,8.3278,8.9405,7786400
21-11-01,8.8886,8.8886,8.7058,8.7764,4708000
23-11-01,8.9384,8.9384,8.6809,8.928,2268400
26-11-01,8.9447,9.0568,8.7557,8.9384,3397600
27-11-01,8.9343,8.9405,8.7889,8.8367,5823200
28-11-01,8.8367,8.8367,8.575,8.7266,4541200
29-11-01,8.71,8.982,8.629,8.9301,2932800
30-11-01,8.899,8.9301,8.7951,8.9114,2276800
03-12-01,8.9405,8.9405,8.766,8.8865,3986400
04-12-01,8.8803,9.0942,8.8637,8.9675,1695600
05-12-01,8.9924,9.3455,8.9924,9.1835,5445200
06-12-01,9.5531,9.5531,9.3247,9.4618,4417200
07-12-01,9.657,9.657,9.3143,9.5199,3114800
10-12-01,9.3662,9.3683,9.117,9.1856,5140400
11-12-01,9.1253,9.1295,8.8263,8.8408,5736800
12-12-01,8.8782,8.8782,8.5376,8.6477,2104000
13-12-01,8.5729,8.6913,8.494,8.5771,1672000
14-12-01,8.6082,8.6809,8.5667,8.6082,1713600
17-12-01,8.5874,8.764,8.5771,8.6248,2281200
18-12-01,8.6601,8.8263,8.6186,8.7121,3717200
19-12-01,8.6913,8.7619,8.6186,8.6705,2181200
20-12-01,8.7224,8.7577,8.5688,8.6539,2890800
21-12-01,8.7162,8.9488,8.6228,8.9031,944800
24-12-01,8.845,9.0651,8.8284,9.007,658000
26-12-01,9.0672,9.2375,9.0028,9.1482,2616400
27-12-01,9.1461,9.1752,9.0755,9.1482,1401200
28-12-01,9.1482,9.2126,9.0755,9.1399,1281600
31-12-01,9.1378,9.1482,9.0277,9.0464,2124000
