Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1961,0.08,0.21,0.01,0.13,0.18,0.12,-0.01,0.08,0.16,0.1,0.08,-0.13
1962,0.08,0.16,0.11,0.05,-0.09,0.07,-0.11,-0.08,0.02,0.02,0.1,0.01
1963,0,0.25,-0.22,-0.19,-0.12,0.05,0.07,0.19,0.23,0.1,0.06,-0.04
1964,-0.06,-0.16,-0.27,-0.35,-0.33,-0.11,-0.07,-0.29,-0.37,-0.34,-0.21,-0.34
1965,-0.06,-0.17,-0.11,-0.29,-0.15,-0.15,-0.27,-0.08,-0.27,-0.08,-0.13,-0.18
1966,-0.21,-0.03,0.15,-0.08,-0.11,-0.04,0.11,-0.1,-0.02,-0.26,-0.04,-0.07
1967,-0.08,-0.26,0.01,-0.08,0.18,-0.12,0.06,0.03,-0.01,0.11,0,0.01
1968,-0.2,-0.16,0.32,-0.08,-0.18,-0.11,-0.13,-0.08,-0.27,0.06,-0.08,-0.22
1969,-0.16,-0.25,-0.09,0.12,0.16,0.04,-0.02,-0.09,0.01,0.08,0.08,0.33
1970,0.04,0.27,0.11,0.13,-0.05,0.12,0.09,-0.07,0.16,0.12,0.04,-0.1
1971,-0.01,-0.12,-0.19,-0.03,-0.07,-0.2,-0.1,0.04,0.03,-0.01,-0.11,-0.05
1972,-0.29,-0.29,-0.06,-0.04,-0.02,0.08,0.07,0.21,0.06,-0.02,-0.05,0.16
1973,0.26,0.32,0.38,0.35,0.35,0.28,0.2,0.06,0.12,0.21,0.1,-0.01
1974,-0.06,-0.23,0,-0.06,0.03,0.02,-0.01,0.12,-0.14,-0.07,-0.07,-0.04
1975,0.06,0.1,0.14,0.05,0.27,0.05,0.08,-0.25,-0.02,-0.02,-0.06,-0.21
1976,-0.01,-0.07,-0.3,-0.22,-0.23,-0.17,-0.16,-0.23,-0.15,-0.36,-0.16,-0.02
1977,0.15,0.23,0.32,0.31,0.3,0.33,0.32,0.29,-0.08,0.01,0.25,0.15
1978,0.14,0.2,0.28,0.27,0.21,0.04,0.2,-0.14,0.15,0.04,0.16,0.12
1979,0.18,-0.09,0.26,0.21,0.1,0.21,0.05,0.14,0.3,0.28,0.31,0.53
